,hs2_name
Machines,8983
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,7470
Articles of apparel and clothing accessories  knitted or crocheted.,4848
Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,4096
Articles of apparel and clothing accessories  not knitted or crocheted.,3896
Organic chemicals.,2754
Plastics and articles thereof.,2751
Wood and articles of wood; wood charcoal.,2055
Articles of iron or steel.,1932
Fish and crustaceans  molluscs and other aquatic invertebrates.,1880
Cotton.,1748
Furniture; bedding  mattresses  mattress supports  cushions and similar stuffed furnishings; lamps and lighting fittings  not elsewhere specified or included; illuminated signs  illuminated name-plates and the like; prefabricated buildings.,1621
Iron and steel.,1419
Footwear  gaiters and the like; parts of such articles.,1391
Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,1316
Paper and paperboard; articles of paper pulp  of paper or of paperboard.,1303
Tools  implements  cutlery  spoons and forks  of base metal; parts thereof of base metal.,1277
Preparations of vegetables  fruit  nuts or other parts of plants.,1246
Inorganic chemicals; organic or inorganic compounds of precious metals  of rare-earth metals  of radioactive elements or of isotopes.,1246
Glass and glassware.,1206
