,Year,exp_imp,Country_name,Value_in_Yen,Unit2,Area,hs2_name,hs4_name
4186323,2015,Export,United_States_of_America,1445175989,NO,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
4186596,2015,Export,United_States_of_America,1421508927,NO,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
4186023,2015,Export,United_States_of_America,1218373124,NO,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
4209398,2015,Export,United_States_of_America,835762625,KG,North_America,,unknow
4209308,2015,Export,China,696078465,KG,Asia,,unknow
4209311,2015,Export,Hong_Kong,683915885,KG,Asia,,unknow
4192547,2015,Export,United_States_of_America,530719023,KG,North_America,Aircraft  spacecraft  and parts thereof.,Parts_of_goods_of_heading_88.01_or_88.02
4192623,2015,Export,Panama,459661750,GT,Middle_and_South_America,Ships  boats and floating structures.,Cruise_ships__excursion_boats__ferry-boats__cargo_ships__barges_and_similar_vessels_for_the_transport_of_persons_or_goods
4194708,2015,Export,China,453066824,KG,Asia,Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,Liquid_crystal_devices_not_constituting_articles_provided_for_more_specifically_in_other_headings;_lasers__other_than_laser_diodes;_other_optical_appliances_and_instruments__not_specified_or_included_elsewhere_in_this_Chapter
4189400,2015,Export,China,408582829,KG,Asia,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Parts_and_accessories_of_the_motor_vehicles_of_headings_87.01_to_87.05
4209314,2015,Export,Singapore,364600584,KG,Asia,,unknow
4182282,2015,Export,Taiwan,345636938,NO,Asia,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Electronic_integrated_circuits
4189466,2015,Export,United_States_of_America,330742624,KG,North_America,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Parts_and_accessories_of_the_motor_vehicles_of_headings_87.01_to_87.05
4209307,2015,Export,Korea,280344819,KG,Asia,,unknow
4186559,2015,Export,United_Arab_Emirates,274551005,NO,Middle_East,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
4157464,2015,Export,United_States_of_America,274039553,KG,North_America,Machines,Printing_machinery_used_for_printing_by_means_of_plates__cylinders_and_other_printing_components_of_heading_84.42;_other_printers__copying_machines_and_facsimile_machines__whether_or_not_combined;_parts_and_accessories_thereof
4175397,2015,Export,China,271005056,KG,Asia,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Telephone_sets__including_telephones_for_cellular_networks_or_for_other_wireless_networks;_other_apparatus_for_the_transmission_or_reception_of_voice__images_or_other_data__including_apparatus_for_communication_in_a_wired_or_wireless_network_(such_as_a_local_or_wide_area_network)__other_than_transmission_or_reception_apparatus_of_heading_84.43__85.25__85.27_or_85.28
4169187,2015,Export,Taiwan,257698759,KG,Asia,Machines,Machines_and_apparatus_of_a_kind_used_solely_or_principally_for_the_manufacture_of_semiconductor_boules_or_wafers__semiconductor_devices__electronic_integrated_circuits_or_flat_panel_displays;_machines_and_apparatus_specified_in_Note_9_(C)_to_this_Chapter;_parts_and_accessories
4209309,2015,Export,Taiwan,249281426,KG,Asia,,unknow
4186251,2015,Export,China,224738197,NO,Asia,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars
