hs2_name,Year,Value_in_Yen
Articles of iron or steel.,2015,1240607699
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2015,11569074839
Iron and steel.,2015,3328223558
Machines,2015,14235448952
Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,2015,4324987178
Organic chemicals.,2015,2166200226
Plastics and articles thereof.,2015,2722612037
Rubber and articles thereof.,2015,1244769750
Tools  implements  cutlery  spoons and forks  of base metal; parts thereof of base metal.,2015,447611918
Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,2015,16219898686
