country,value
China,8781
Taiwan,4423
Korea,4384
United States of America,4178
Thailand,4093
Vietnam,3832
Singapore,3470
Indonesia,3383
Malaysia,3315
Philippines,3233
Germany,2865
India,2809
United Kingdom,2629
Australia,2596
France,2455
Italy,2336
Canada,2215
Netherlands,2168
United Arab Emirates,2093
Mexico,2079
Brazil,1911
Russia,1898
Belgium,1796
Turkey,1668
Spain,1663
Saudi Arabia,1643
New Zealand,1551
South Africa,1527
Myanmar,1517
Switzerland,1497
Pakistan,1399
Bangladesh,1389
Sri Lanka,1303
Poland,1242
Sweden,1183
Cambodia,1139
Czech Republic,1113
Israel,1107
Egypt,1103
Argentina,1051
Chile,1029
Hungary,990
Austria,962
Denmark,935
Kuwait,926
Finland,888
Qatar,845
Portugal,837
Colombia,837
Peru,787
Macao,744
Norway,730
Ireland,729
Panama,698
Oman,670
Mongolia,666
Greece,655
Romania,647
Bahrain,632
Iran,626
Jordan,621
Ecuador,581
Kenya,565
Nigeria,518
Lebanon,512
Lao,480
Uruguay,473
Morocco,461
Guam (USA),457
Angola,456
Ukraine,436
Costa Rica,432
Bulgaria,416
Lithuania,401
Algeria,399
Dominican Republic,390
Slovenia,377
Paraguay,376
Slovak,376
Bolivia,365
Estonia,363
Guatemala,360
Kazakhstan,359
Latvia,356
Iraq,351
El Salvador,343
Trinidad and Tobago,341
Brunei,338
Uganda,331
Papua New Guinea,331
Venezuela,331
Tanzania,326
Palau,321
Malta,306
Ethiopia,303
Mauritius,299
Ghana,297
Cuba,281
Tunisia,269
Liberia,259
Marshall,256
Nepal,247
Fiji,244
Uzbekistan,244
Honduras,242
Sudan,238
Mozambique,237
Cyprus,232
Luxembourg,226
Puerto Rico (USA),223
Northern Mariana Islands (USA),223
Congo,217
Zambia,216
Azerbaijan,205
Côte d'Ivoire,201
Bahamas,200
Djibouti,198
South Sudan,196
Afghanistan,196
Cameroon,195
Maldives,194
Yemen,194
Nicaragua,192
Kyrgyz,188
Micronesia,187
Croatia,181
Turkmenistan,181
New Caledonia (France),177
Jamaica,177
Canary Islands (Spain),172
Libya,168
Belarus,167
Georgia,167
Haiti,158
Serbia,155
Netherlands Antilles,153
Senegal,145
Samoa,145
French Polynesia,145
Iceland,125
Barbados,125
Namibia,124
Madagascar,123
Syria,120
Gabon,119
Vanuatu,117
Seychelles,115
Bhutan,115
Suriname,110
Solomon Islands,109
Zimbabwe,104
Malawi,102
Togo,101
Sierra Leone,93
Guyana,93
Kiribati,92
Moldova,85
Cayman islands (UK),82
Timor-Leste,78
Gibraltar (UK),76
Mauritania,75
Tonga,74
Former Yugoslav Republic of Macedonia,73
Guinea,71
Armenia,70
Bermuda (UK),70
St.Lucia,66
Grenada,65
Dominica,63
Rwanda,60
Montenegro,60
Bosnia and Herzegovina,60
Botswana,59
Antigua and Barbuda,58
St.Christopher and Nevis,56
Reunion (France),56
St.Vincent,51
French West Indies,50
Swaziland,49
Tajikistan,47
Mali,47
Burkina Faso,45
Lesotho,43
Equatorial Guinea,42
Somalia,41
Benin,39
British Virgin Islands,38
Tuvalu,37
Burundi,36
Niger,35
Chad,34
Belize,33
Cook,32
French Guiana,32
Albania,31
West Bank and Gaza Strip,31
Central Africa,30
Eritrea,29
Cape Verde,24
Comoros,22
American Samoa,21
Turks and Caicos Islands (UK),21
Gambia,19
Monaco,19
British Anguilla,16
US Virgin Islands,15
Guinea-Bissau,13
Nauru,12
Monstserrat (UK),11
Niue,11
Other Australian Territories,10
West Sahara,9
Sao Tome and Principe,8
Kosovo,7
Andorra,6
Falkland Islands and Dependencies (UK),5
St. Helena Island and Dependencies (UK),4
Ceuta and Melilla (Spain),4
Greenland (Denmark),3
British Antarctic Territory,2
Tokelau Islands (NZ),1
