,Year,exp_imp,Country_name,Value_in_Yen,Unit2,Area,hs2_name,hs4_name
6519875,2015,Import,Saudi_Arabia,2707517802,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
6519879,2015,Import,United_Arab_Emirates,2118344128,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
6584422,2015,Import,China,1607646087,NO,Asia,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Telephone_sets__including_telephones_for_cellular_networks_or_for_other_wireless_networks;_other_apparatus_for_the_transmission_or_reception_of_voice__images_or_other_data__including_apparatus_for_communication_in_a_wired_or_wireless_network_(such_as_a_local_or_wide_area_network)__other_than_transmission_or_reception_apparatus_of_heading_84.43__85.25__85.27_or_85.28
6520320,2015,Import,Australia,1179632639,MT,Oceania,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
6520303,2015,Import,Malaysia,1046544208,MT,Asia,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
6520306,2015,Import,Qatar,974316761,MT,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
6519785,2015,Import,Australia,850640930,MT,Oceania,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Coal;_briquettes__ovoids_and_similar_solid_fuels_manufactured_from_coal
6579031,2015,Import,China,788231976,NO,Asia,Machines,Automatic_data_processing_machines_and_units_thereof;_magnetic_or_optical_readers__machines_for_transcribing_data_onto_data_media_in_coded_form_and_machines_for_processing_such_data__not_elsewhere_specified_or_included
6519881,2015,Import,Russia,723375707,KG,Central_and_East_Europe_Russia,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
6519877,2015,Import,Qatar,663487664,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
6519523,2015,Import,Australia,623044381,MT,Oceania,Ores  slag and ash.,Iron_ores_and_concentrates__including_roasted_iron_pyrites:
6519876,2015,Import,Kuwait,606407961,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
6525039,2015,Import,Ireland,517363889,KG,Western_Europe,Pharmaceutical products.,Medicaments_(excluding_goods_of_heading_30.02__30.05_or_30.06)_consisting_of_mixed_or_unmixed_products_for_therapeutic_or_prophylactic_uses__put_up_in_measured_doses_(including_those_in_the_form_of_transdermal_administration_systems)_or_in_forms_or_packings_for_retail_sale.
6520313,2015,Import,Russia,474362035,MT,Central_and_East_Europe_Russia,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
6587952,2015,Import,China,448682102,NO,Asia,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Diodes__transistors_and_similar_semiconductor_devices;_photosensitive_semiconductor_devices__including_photovoltaic_cells_whether_or_not_assembled_in_modules_or_made_up_into_panels;_light_emitting_diodes;_mounted_piezo-electric_crystals
6588507,2015,Import,Taiwan,413592599,NO,Asia,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,Electronic_integrated_circuits
6520305,2015,Import,Indonesia,397862446,MT,Asia,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_gases_and_other_gaseous_hydrocarbons
6519873,2015,Import,Iran,387076051,KG,Middle_East,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
6519554,2015,Import,Chile,372820464,MT,Middle_and_South_America,Ores  slag and ash.,Copper_ores_and_concentrates
6591292,2015,Import,United_States_of_America,350404594,KG,North_America,Aircraft  spacecraft  and parts thereof.,Other_aircraft_(for_example__helicopters__aeroplanes);_spacecraft_(including_satellites)_and_suborbital_and_spacecraft_launch_vehicles
