hs2_name,Year,Value_in_Yen
Articles of iron or steel.,1988,835641225
Articles of iron or steel.,1989,802433284
Articles of iron or steel.,1990,821750727
Articles of iron or steel.,1991,864031295
Articles of iron or steel.,1992,760603718
Articles of iron or steel.,1993,700065295
Articles of iron or steel.,1994,657916180
Articles of iron or steel.,1995,615416890
Articles of iron or steel.,1996,685603666
Articles of iron or steel.,1997,793308998
Articles of iron or steel.,1998,798267037
Articles of iron or steel.,1999,613879850
Articles of iron or steel.,2000,584950773
Articles of iron or steel.,2001,693504234
Articles of iron or steel.,2002,728261977
Articles of iron or steel.,2003,721481267
Articles of iron or steel.,2004,830714129
Articles of iron or steel.,2005,1038633647
Articles of iron or steel.,2006,1283777506
Articles of iron or steel.,2007,1421433458
Articles of iron or steel.,2008,1423274594
Articles of iron or steel.,2009,983868739
Articles of iron or steel.,2010,1074988652
Articles of iron or steel.,2011,1133441390
Articles of iron or steel.,2012,1236652195
Articles of iron or steel.,2013,1314678139
Articles of iron or steel.,2014,1381508882
Articles of iron or steel.,2015,1240607699
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1988,7740796081
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1989,8550769763
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1990,9218085433
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1991,9576792711
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1992,9469368685
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1993,9038946077
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1994,9536297944
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1995,10174560203
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1996,10360538742
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1997,11444338938
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1998,11235512587
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,1999,11058300725
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2000,12960843413
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2001,10976789884
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2002,11228008796
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2003,12046997836
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2004,13305907352
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2005,13493713915
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2006,14897090192
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2007,15861111781
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2008,14368176912
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2009,10018374844
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2010,11504584409
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,2011,10314605172
